final,degree,y1m,y1lb,y1ub
103.95985,MHS,91.637276,89.886383,93.388161
101.39531,PhD,93.010696,89.789528,96.231865
104.39221,MSPH,93.483124,90.765526,96.200722
100.19501,MHS,91.872437,90.121544,93.623322
104.85492,SCM,99.212059,96.07299,102.35114
100.62955,MHS,93.306976,91.556084,95.057861
106.79111,MHS,100.46854,98.717644,102.21942
103.01017,MHS,96.687592,94.936699,98.438477
108.7576,SCM,104.11474,100.97567,107.25381
96.723221,PhD,91.338608,88.117432,94.559769
101.33414,MSPH,93.425056,90.707458,96.142654
99.764511,SCM,95.121651,91.982582,98.260727
99.788383,,94.465805,92.714912,96.21669
95.464943,MPH,88.036369,84.897301,91.175438
100.43426,MSPH,93.525169,90.807571,96.242767
104.155,SCM,101.51214,98.37307,104.65121
100.48447,MSPH,94.575386,91.857788,97.292984
97.49292,MHS,93.170341,91.419449,94.921227
99.233414,PhD,95.848801,92.627632,99.069969
99.411339,MHS,95.08876,93.337868,96.839645
98.447861,MPH,93.019287,89.880219,96.158356
100.5928,MHS,97.270226,95.519333,99.021111
97.782578,MHS,94.459999,92.709106,96.210884
100.31834,MSPH,95.409256,92.691658,98.126854
106.44968,SCM,104.80682,101.66776,107.94589
94.822319,,92.499741,90.748848,94.250626
96.756149,PhD,95.371536,92.150368,98.592705
100.70551,PhD,99.320892,96.099724,102.54206
103.92448,MPH,99.495911,96.356842,102.63498
103.0427,MHS,100.72012,98.969231,102.47101
94.81443,MPH,90.385857,87.246788,93.524925
97.866371,MHS,95.543793,93.7929,97.294678
95.225143,,92.902565,91.151672,94.65345
100.62593,MHS,98.303352,96.55246,100.05424
95.943214,MHS,94.620636,92.869743,96.371521
96.27903,PhD,95.894417,92.673248,99.115585
93.830681,SCM,94.18782,91.048752,97.326897
105.87724,MSPH,102.96815,100.25055,105.68575
98.158195,SCM,98.515335,95.376266,101.65441
101.92043,,100.59785,98.846954,102.34873
99.672569,,98.349991,96.599098,100.10088
95.225021,MHS,93.902443,92.15155,95.653328
96.446411,MSPH,93.537323,90.819725,96.254921
96.83358,MPH,93.405006,90.265938,96.544075
94.106621,,92.784042,91.03315,94.534927
97.166702,MSPH,95.257614,92.540016,97.975212
101.34267,MHS,101.02009,99.269196,102.77097
95.384224,,95.061646,93.310753,96.812531
93.826775,SCM,95.183914,92.044846,98.32299
95.288872,SCM,96.646011,93.506943,99.785088
98.073471,,97.750893,96,99.501778
94.524086,MPH,92.095512,88.956444,95.234581
98.349602,PhD,98.964989,95.74382,102.18616
93.383133,PhD,93.99852,90.777351,97.219688
98.93882,SCM,100.29596,97.156891,103.43504
96.723061,MPH,94.294487,91.155418,97.433556
94.504028,MHS,94.18145,92.430557,95.932335
98.446899,MHS,98.124321,96.373428,99.875206
91.973,SCM,94.330139,91.191071,97.469215
96.122688,MHS,96.80011,95.049217,98.550995
92.493553,MHS,93.170975,91.420082,94.92186
89.258125,MHS,89.935547,88.184654,91.686432
96.945633,MSPH,96.036545,93.318947,98.754143
95.693611,PhD,97.308998,94.08783,100.53017
94.324783,MHS,96.002205,94.251312,97.75309
93.223343,MHS,94.900764,93.149872,96.651649
92.796326,PhD,95.411713,92.190544,98.632881
100.29283,MHS,101.97025,100.21936,103.72114
91.806625,MSPH,91.897537,89.179939,94.615135
92.71949,SCM,96.07663,92.937561,99.215706
85.425095,,87.102516,85.351624,88.853401
91.366707,MSPH,92.457619,89.740021,95.175217
99.990051,SCM,104.34719,101.20812,107.48627
92.611725,SCM,96.968864,93.829796,100.10794
93.016602,MPH,93.588028,90.448959,96.727097
91.110771,MSPH,92.201683,89.484085,94.919281
90.100128,MHS,92.77755,91.026657,94.528435
92.853264,MSPH,93.944176,91.226578,96.661774
95.733437,PhD,99.348824,96.127655,102.56999
92.725403,PhD,97.34079,94.119621,100.56196
93.785034,MSPH,95.875946,93.158348,98.593544
97.062325,MHS,100.73975,98.988853,102.49063
89.643387,MHS,94.320808,92.569916,96.071693
87.928307,MSPH,91.019218,88.30162,93.736816
90.577232,PhD,97.192619,93.971451,100.41379
87.826279,MSPH,91.917191,89.199593,94.634789
87.997688,MSPH,92.0886,89.371002,94.806198
90.240593,MSPH,94.331505,91.613907,97.049103
90.871803,MPH,94.44323,91.304161,97.582298
89.767105,MSPH,93.858017,91.140419,96.575615
92.398521,MPH,95.969948,92.830879,99.109016
86.408722,,92.086143,90.335251,93.837029
87.917168,MPH,92.488594,89.349525,95.627663
83.983131,,90.660553,88.90966,92.411438
85.498421,MPH,91.069847,87.930779,94.208916
90.79866,MSPH,96.889572,94.171974,99.60717
84.354126,MPH,89.925552,86.786484,93.064621
88.219543,MPH,94.79097,91.651901,97.930038
83.343887,MSPH,90.434799,87.717201,93.152397
84.834229,MSPH,91.92514,89.207535,94.642731
85.598267,MHS,94.275688,92.524796,96.026573
85.444054,MHS,94.121475,92.370583,95.87236
89.289276,MHS,97.966698,96.215805,99.717583
86.826614,MHS,97.504036,95.753143,99.254921
87.152473,MHS,98.829895,97.079002,100.58078
84.404099,,96.08152,94.330627,97.832405
